week,rsv_cases_65_baseline,flu_season,start_year,calendar_year,year_week,uptake_shape,season_week,season_cov,template_shape,vax_weekly,vax_cov,vax_weekly_lag2,vax_cov_lag2,scenario,inc_future,epi_time,cases_future,hosp_baseline,VE_used,hosp_with_vaccine,hosp_avoided,deaths_baseline,deaths_with_vaccine,deaths_avoided,costs_saved,vaccinated_weekly,vaccination_costs,net_cost
4,60022.082962059045,2028-2029,2028,2029,2029-04,0.0,17,0.5684862776569074,0.0209575647541747,0.0119140879758543,0.4745548531652162,0.015277985505091,0.3482362237804861,mid,13.22066186804483,2029.0576923076924,31584.703249895687,3158.470324989569,0.7,2388.5446797616046,769.9256452279642,225.19893417175626,170.3032356670024,54.89569850475385,8930367.558999157,28463.244651922934,4269486.69778844,-4660880.861210717
5,48451.11924660505,2028-2029,2028,2029,2029-05,0.0,18,0.5684862776569074,0.0198429311910621,0.011280434090609,0.4858352872558252,0.0144045414088756,0.3626407651893618,mid,13.604349328958827,2029.076923076923,32501.348325205126,3250.1348325205126,0.7,2425.0928646768266,825.041967843686,231.73461355871257,172.90912125145775,58.82549230725482,9569661.785018915,26949.419540262617,4042412.9310393925,-5527248.853979522
6,48583.186685876695,2028-2029,2028,2029,2029-06,0.0,19,0.5684862776569074,0.0184710928406065,0.0105005628132115,0.4963358500690368,0.0119140879758543,0.3745548531652162,mid,13.27712177915423,2029.0961538461538,31719.588292392404,3171.9588292392405,0.7,2340.30802776697,831.6508014722704,226.16066452475786,166.86396237978497,59.2967021449729,9646317.646276863,25086.275083837616,3762941.262575642,-5883376.383701221
7,43047.953588625904,2028-2029,2028,2029,2029-07,0.0,20,0.5684862776569074,0.0173930909715684,0.0098877335433748,0.5062235836124117,0.011280434090609,0.3858352872558252,mid,10.725262851859329,2029.1153846153845,25623.092688868863,2562.3092688868865,0.7,1870.2687359274216,692.0405329594648,182.692650871635,133.35016087162518,49.34249000000983,8026978.141796833,23622.200832197675,3543330.1248296513,-4483648.016967181
8,46424.20742004248,2028-2029,2028,2029,2029-08,0.0,21,0.5684862776569074,0.0161640524794828,0.0091890420259121,0.5154126256383238,0.0105005628132115,0.3963358500690367,mid,10.160727256658888,2029.1346153846155,24274.394005975602,2427.4394005975605,0.7,1753.9825197687255,673.456880828835,173.07642926260607,125.05895365951014,48.01747560309593,7811426.360733657,21952.99815062707,3292949.7225940605,-4518476.638139596
9,40645.207521865006,2028-2029,2028,2029,2029-09,0.0,22,0.5684862776569074,0.0151195922316225,0.0085952807074454,0.5240079063457692,0.0098877335433748,0.4062235836124117,mid,10.000904222119482,2029.1538461538462,23892.57022371655,2389.2570223716552,0.7,1709.8562375124018,679.4007848592535,170.354025695099,121.91274973463425,48.441275960464765,7880369.703582481,20534.478016596066,3080171.70248941,-4800198.001093071
10,32985.30510404069,2028-2029,2028,2029,2029-10,0.0,23,0.5684862776569074,0.0139326717782131,0.0079205327170118,0.5319284390627811,0.0091890420259121,0.4154126256383237,mid,8.657182922588467,2029.173076923077,20682.364946563674,2068.2364946563675,0.7,1466.8164077760243,601.4200868803432,147.465262068999,104.58400987443054,42.881252194568475,6975871.587725101,18922.477402782588,2838371.6104173884,-4137499.9773077127
11,31108.524501525277,2028-2029,2028,2029,2029-11,0.0,24,0.5684862776569074,0.0128832817616585,0.0073239688926904,0.5392524079554715,0.0085952807074454,0.4240079063457692,mid,8.5561941154641,2029.1923076923076,20441.09854580247,2044.109854580247,0.7,1437.4067367333193,606.7031178469276,145.7450326315716,102.48710032908568,43.257932302485926,7037149.4639065135,17497.261967361967,2624589.295104295,-4412560.1688022185
12,27001.663871025423,2028-2029,2028,2029,2029-12,0.0,25,0.5684862776569074,0.0118212580992959,0.0067202230140903,0.5459726309695617,0.0079205327170118,0.431928439062781,mid,8.085232147251467,2029.2115384615386,19315.951094301792,1931.5951094301793,0.7,1347.5775070679442,584.017602362235,137.72273130237178,96.08227625394443,41.640455048427356,6774020.169799564,16054.888309805305,2408233.246470796,-4365786.923328768
13,28771.483090703416,2028-2029,2028,2029,2029-13,0.0,26,0.5684862776569074,0.0107943674307706,0.0061364497603797,0.5521090807299416,0.0073239688926904,0.4392524079554714,mid,7.3769997891133094,2029.2307692307693,17623.954953183053,1762.3954953183054,0.7,1220.4999697563965,541.8955255619089,125.65879881619517,87.02164784363107,38.6371509725641,6285446.200992581,14660.230071987278,2199034.5107980915,-4086411.69019449
