week,rsv_cases_65_baseline,flu_season,start_year,calendar_year,year_week,uptake_shape,season_week,season_cov,template_shape,vax_weekly,vax_cov,vax_weekly_lag2,vax_cov_lag2,scenario
10,32985.30510404069,2027-2028,2027,2028,2028-10,0.0,23,0.5601890267800649,0.013932671778213189,0.007804929843883322,0.5256242963585489,0.009054924827303393,0.4093495368571215,high
11,31108.524501525273,2027-2028,2027,2028,2028-11,0.0,24,0.5601890267800649,0.012883281761658568,0.007217073071796873,0.5328413694303458,0.008469829657544078,0.41781936651466556,high
12,27001.663871025423,2027-2028,2027,2028,2028-12,0.0,25,0.5601890267800649,0.011821258099295946,0.0066221390699605556,0.5394635085003063,0.007804929843883322,0.4256242963585489,high
13,28771.483090703416,2027-2028,2027,2028,2028-13,0.0,26,0.5601890267800649,0.010794367430770635,0.006046886185749832,0.5455103946860562,0.007217073071796873,0.4328413694303458,high
14,25397.346219665214,2027-2028,2027,2028,2028-14,0.0,27,0.5601890267800649,0.009874724554315619,0.005531712337803277,0.5510421070238595,0.0066221390699605556,0.43946350850030635,high
15,21840.778408156617,2027-2028,2027,2028,2028-15,0.0,28,0.5601890267800649,0.008977329209662462,0.005029001313045064,0.5560711083369045,0.006046886185749832,0.4455103946860562,high
16,23477.614230762567,2027-2028,2027,2028,2028-16,0.0,29,0.5601890267800649,0.008109688823336632,0.004542958689434117,0.5601890267800649,0.005531712337803277,0.45104210702385944,high
17,18186.54786064728,2027-2028,2027,2028,2028-17,0.0,30,0.5601890267800649,0.0072920849705532765,0.004084945982851778,0.5601890267800649,0.005029001313045064,0.4560711083369045,high
42,80724.96411944448,2028-2029,2028,2028,2028-42,0.0,3,0.7722854963084588,0.06536456158967449,0.050480102888266584,0.15048010288826658,0.0,0.0,high
43,64292.215837643445,2028-2029,2028,2028,2028-43,0.0,4,0.7722854963084588,0.06214519310897873,0.04799383130335265,0.19847393419161924,0.0,0.0,high
44,51554.70032329951,2028-2029,2028,2028,2028-44,0.0,5,0.7722854963084588,0.059022885208016594,0.045582518196430284,0.24405645238804952,0.050480102888266584,0.050480102888266584,high
45,70726.19698527816,2028-2029,2028,2028,2028-45,0.0,6,0.7722854963084588,0.0559966423322492,0.04324539471516833,0.2873018471032178,0.04799383130335265,0.09847393419161923,high
46,61784.98855322787,2028-2029,2028,2028,2028-46,0.0,7,0.7722854963084588,0.05306545850049194,0.04098168395488834,0.32828353105810615,0.045582518196430284,0.1440564523880495,high
47,74891.45784655388,2028-2029,2028,2028,2028-47,0.0,8,0.7722854963084588,0.05022831697025985,0.03879060070011571,0.3670741317582219,0.04324539471516833,0.18730184710321784,high
48,78791.11519847276,2028-2029,2028,2028,2028-48,0.0,9,0.7722854963084588,0.047484189884816855,0.03667135115200088,0.40374548291022283,0.04098168395488834,0.22828353105810617,high
49,93357.77378230238,2028-2029,2028,2028,2028-49,0.0,10,0.7722854963084588,0.0448320379004977,0.034623132640505504,0.43836861555072826,0.03879060070011571,0.2670741317582219,high
50,99881.3248097,2028-2029,2028,2028,2028-50,0.0,11,0.7722854963084588,0.04227080979272265,0.032645133320133274,0.47101374887086156,0.03667135115200088,0.3037454829102228,high
51,109526.88845336525,2028-2029,2028,2028,2028-51,0.0,12,0.7722854963084588,0.03979944203895961,0.03073653184785766,0.5017502807187192,0.034623132640505504,0.3383686155507283,high
52,97597.25251858615,2028-2029,2028,2028,2028-52,0.0,13,0.7722854963084588,0.037416858376699856,0.028896497041752962,0.5306467777604722,0.032645133320133274,0.3710137488708616,high
1,88716.35546435432,2028-2029,2028,2029,2029-01,0.0,14,0.7722854963084588,0.02806626102658422,0.021675166326438348,0.5523219440869105,0.03073653184785766,0.4017502807187192,high
2,84828.87590899944,2028-2029,2028,2029,2029-02,0.0,15,0.7722854963084588,0.026874853634218456,0.02075505967711959,0.5730770037640301,0.028896497041752962,0.43064677776047217,high
3,68763.05622401096,2028-2029,2028,2029,2029-03,0.0,16,0.7722854963084588,0.02533841532331421,0.01956849065363557,0.5926454944176657,0.021675166326438348,0.4523219440869105,high
4,60022.082962059045,2028-2029,2028,2029,2029-04,0.0,17,0.7722854963084588,0.020957564754174735,0.016185223297594496,0.6088307177152602,0.02075505967711959,0.4730770037640301,high
5,48451.11924660505,2028-2029,2028,2029,2029-05,0.0,18,0.7722854963084588,0.019842931191062136,0.015324407963104018,0.6241551256783642,0.01956849065363557,0.4926454944176657,high
6,48583.186685876695,2028-2029,2028,2029,2029-06,0.0,19,0.7722854963084588,0.01847109284060652,0.014264957101767426,0.6384200827801316,0.016185223297594496,0.5088307177152602,high
