flu_season,region,age_class,population
2010-2011,Minnesota,80-84,101552.359
2010-2011,Minnesota,85+,106897.22
2010-2011,Minnesota,total,5344861.0
2010-2011,Mississippi,0-5,205517.328
2010-2011,Mississippi,10-14,220409.88800000004
2010-2011,Mississippi,15-19,226366.91199999998
2010-2011,Mississippi,20-24,208495.84000000003
2010-2011,Mississippi,25-29,190624.768
2010-2011,Mississippi,30-34,187646.256
2010-2011,Mississippi,35-39,187646.256
2010-2011,Mississippi,40-44,196581.79200000002
2010-2011,Mississippi,45-49,199560.304
2010-2011,Mississippi,5-9,202538.81600000002
2010-2011,Mississippi,50-54,205517.328
2010-2011,Mississippi,55-59,190624.768
2010-2011,Mississippi,60-64,169775.184
2010-2011,Mississippi,65-69,119140.48
2010-2011,Mississippi,70-74,98290.89600000001
2010-2011,Mississippi,75-79,68505.776
2010-2011,Mississippi,80-84,56591.727999999996
2010-2011,Mississippi,85+,44677.68
2010-2011,Mississippi,total,2978512.0
2010-2011,Missouri,0-5,378673.344
2010-2011,Missouri,10-14,390694.72000000003
2010-2011,Missouri,15-19,420748.16000000003
2010-2011,Missouri,20-24,414737.472
2010-2011,Missouri,25-29,402716.096
2010-2011,Missouri,30-34,384684.032
2010-2011,Missouri,35-39,366651.968
2010-2011,Missouri,40-44,372662.656
2010-2011,Missouri,45-49,420748.16000000003
2010-2011,Missouri,5-9,396705.408
2010-2011,Missouri,50-54,450801.6
2010-2011,Missouri,55-59,402716.096
2010-2011,Missouri,60-64,354630.592
2010-2011,Missouri,65-69,258459.58399999997
2010-2011,Missouri,70-74,198352.704
2010-2011,Missouri,75-79,150267.2
2010-2011,Missouri,80-84,120213.76000000001
2010-2011,Missouri,85+,120213.76000000001
2010-2011,Missouri,total,6010688.0
2010-2011,Montana,0-5,60890.138999999996
2010-2011,Montana,10-14,58893.741
2010-2011,Montana,15-19,65881.134
2010-2011,Montana,20-24,71870.32800000001
2010-2011,Montana,25-29,63884.736000000004
2010-2011,Montana,30-34,61888.337999999996
2010-2011,Montana,35-39,55899.14399999999
2010-2011,Montana,40-44,54900.945
2010-2011,Montana,45-49,66879.333
2010-2011,Montana,5-9,63884.736000000004
2010-2011,Montana,50-54,77859.522
2010-2011,Montana,55-59,79855.92
2010-2011,Montana,60-64,65881.134
2010-2011,Montana,65-69,47913.552
2010-2011,Montana,70-74,35935.164000000004
2010-2011,Montana,75-79,24954.975000000002
2010-2011,Montana,80-84,21960.378
2010-2011,Montana,85+,19963.98
2010-2011,Montana,total,998199.0
2010-2011,Nebraska,0-5,130827.51099999998
2010-2011,Nebraska,10-14,123456.947
2010-2011,Nebraska,15-19,130827.51099999998
2010-2011,Nebraska,20-24,128984.87000000001
2010-2011,Nebraska,25-29,127142.229
2010-2011,Nebraska,30-34,117929.024
2010-2011,Nebraska,35-39,106873.178
2010-2011,Nebraska,40-44,112401.101
2010-2011,Nebraska,45-49,123456.947
2010-2011,Nebraska,5-9,130827.51099999998
2010-2011,Nebraska,50-54,132670.152
2010-2011,Nebraska,55-59,119771.66500000001
2010-2011,Nebraska,60-64,105030.537
2010-2011,Nebraska,65-69,68177.717
2010-2011,Nebraska,70-74,57121.871
2010-2011,Nebraska,75-79,47908.666000000005
2010-2011,Nebraska,80-84,35010.179
2010-2011,Nebraska,85+,38695.461
2010-2011,Nebraska,total,1842641.0
2010-2011,Nevada,0-5,185185.896
2010-2011,Nevada,10-14,174292.608
2010-2011,Nevada,15-19,179739.252
2010-2011,Nevada,20-24,182462.57400000002
2010-2011,Nevada,25-29,196079.18400000004
2010-2011,Nevada,30-34,190632.54
2010-2011,Nevada,35-39,187909.21800000002
2010-2011,Nevada,40-44,193355.862
2010-2011,Nevada,45-49,190632.54
2010-2011,Nevada,5-9,190632.54
2010-2011,Nevada,50-54,185185.896
2010-2011,Nevada,55-59,166122.642
2010-2011,Nevada,60-64,160675.99800000002
2010-2011,Nevada,65-69,117102.84599999999
2010-2011,Nevada,70-74,89869.626
2010-2011,Nevada,75-79,59913.084
2010-2011,Nevada,80-84,38126.507999999994
2010-2011,Nevada,85+,35403.186
2010-2011,Nevada,total,2723322.0
2010-2011,New Hampshire,0-5,67227.894
2010-2011,New Hampshire,10-14,81728.028
2010-2011,New Hampshire,15-19,90955.38600000001
2010-2011,New Hampshire,20-24,85682.61
2010-2011,New Hampshire,25-29,73818.86399999999
2010-2011,New Hampshire,30-34,72500.67
2010-2011,New Hampshire,35-39,80409.834
2010-2011,New Hampshire,40-44,93591.77399999999
2010-2011,New Hampshire,45-49,109410.102
2010-2011,New Hampshire,5-9,77773.44600000001
2010-2011,New Hampshire,50-54,113364.684
2010-2011,New Hampshire,55-59,97546.35600000001
2010-2011,New Hampshire,60-64,88318.998
2010-2011,New Hampshire,65-69,56682.342
2010-2011,New Hampshire,70-74,44818.596000000005
2010-2011,New Hampshire,75-79,31636.656
2010-2011,New Hampshire,80-84,26363.88
2010-2011,New Hampshire,85+,25045.685999999998
2010-2011,New Hampshire,total,1318194.0
2010-2011,New Jersey,0-5,538090.455
2010-2011,New Jersey,10-14,582196.23
2010-2011,New Jersey,15-19,591017.385
2010-2011,New Jersey,20-24,546911.61
2010-2011,New Jersey,25-29,555732.765
2010-2011,New Jersey,30-34,564553.92
2010-2011,New Jersey,35-39,564553.92
2010-2011,New Jersey,40-44,652765.4700000001
2010-2011,New Jersey,45-49,688050.09
2010-2011,New Jersey,5-9,555732.765
2010-2011,New Jersey,50-54,679228.9349999999
2010-2011,New Jersey,55-59,582196.23
2010-2011,New Jersey,60-64,502805.835
2010-2011,New Jersey,65-69,361667.355
2010-2011,New Jersey,70-74,264634.64999999997
2010-2011,New Jersey,75-79,211707.72
2010-2011,New Jersey,80-84,185244.255
2010-2011,New Jersey,85+,185244.255
2010-2011,New Jersey,total,8821155.0
2010-2011,New Mexico,0-5,143673.456
2010-2011,New Mexico,10-14,149920.12800000003
2010-2011,New Mexico,15-19,145755.68000000002
2010-2011,New Mexico,20-24,147837.90399999998
2010-2011,New Mexico,25-29,141591.23200000002
2010-2011,New Mexico,30-34,133262.336
2010-2011,New Mexico,35-39,122851.21600000001
2010-2011,New Mexico,40-44,122851.21600000001
2010-2011,New Mexico,45-49,137426.784
2010-2011,New Mexico,5-9,139509.008
2010-2011,New Mexico,50-54,145755.68000000002
2010-2011,New Mexico,55-59,141591.23200000002
2010-2011,New Mexico,60-64,124933.44
2010-2011,New Mexico,65-69,91617.85600000001
2010-2011,New Mexico,70-74,70795.61600000001
2010-2011,New Mexico,75-79,49973.376000000004
2010-2011,New Mexico,80-84,37480.03200000001
2010-2011,New Mexico,85+,33315.584
2010-2011,New Mexico,total,2082224.0
2010-2011,New York,0-5,1148446.6230000001
2010-2011,New York,10-14,1187377.017
2010-2011,New York,15-19,1343098.593
2010-2011,New York,20-24,1420959.3809999998
2010-2011,New York,25-29,1401494.1840000001
2010-2011,New York,30-34,1304168.199
2010-2011,New York,35-39,1226307.411
2010-2011,New York,40-44,1343098.593
2010-2011,New York,45-49,1440424.5780000002
2010-2011,New York,5-9,1148446.6230000001
2010-2011,New York,50-54,1440424.5780000002
2010-2011,New York,55-59,1284703.002
2010-2011,New York,60-64,1109516.229
2010-2011,New York,65-69,798073.0769999999
2010-2011,New York,70-74,603421.107
2010-2011,New York,75-79,467164.728
2010-2011,New York,80-84,389303.94
2010-2011,New York,85+,408769.13700000005
2010-2011,New York,total,19465197.0
2010-2011,North Carolina,0-5,627666.0650000001
2010-2011,North Carolina,10-14,656635.268
2010-2011,North Carolina,15-19,666291.6690000001
2010-2011,North Carolina,20-24,675948.0700000001
2010-2011,North Carolina,25-29,618009.664
2010-2011,North Carolina,30-34,627666.0650000001
2010-2011,North Carolina,35-39,627666.0650000001
2010-2011,North Carolina,40-44,695260.8720000001
2010-2011,North Carolina,45-49,695260.8720000001
2010-2011,North Carolina,5-9,627666.0650000001
2010-2011,North Carolina,50-54,675948.0700000001
2010-2011,North Carolina,55-59,627666.0650000001
2010-2011,North Carolina,60-64,560071.2579999999
2010-2011,North Carolina,65-69,415225.24299999996
2010-2011,North Carolina,70-74,318661.233
2010-2011,North Carolina,75-79,231753.624
2010-2011,North Carolina,80-84,164158.817
2010-2011,North Carolina,85+,144846.01499999998
2010-2011,North Carolina,total,9656401.0
2010-2011,North Dakota,0-5,46507.376000000004
2010-2011,North Dakota,10-14,37616.26
2010-2011,North Dakota,15-19,46507.376000000004
2010-2011,North Dakota,20-24,62237.812
